"data";"valor"
"01/08/1994";"2569000"
"01/09/1994";"2852000"
"01/10/1994";"907000"
"01/11/1994";"1640000"
"01/12/1994";"1371000"
"01/01/1995";"1475000"
"01/02/1995";"1636000"
"01/03/1995";"1734000"
"01/04/1995";"1680000"
"01/05/1995";"1656000"
"01/06/1995";"1911000"
"01/07/1995";"2149000"
"01/08/1995";"1690000"
"01/09/1995";"1727000"
"01/10/1995";"2364000"
"01/11/1995";"1862000"
"01/12/1995";"1580000"
"01/01/1996";"1908000"
"01/02/1996";"1908000"
"01/03/1996";"2071000"
"01/04/1996";"1980000"
"01/05/1996";"2359000"
"01/06/1996";"2108000"
"01/07/1996";"2670000"
"01/08/1996";"2577000"
"01/09/1996";"2485000"
"01/10/1996";"2376000"
"01/11/1996";"2102000"
"01/12/1996";"2317000"
"01/01/1997";"2415000"
"01/02/1997";"2027000"
"01/03/1997";"2042000"
"01/04/1997";"2375000"
"01/05/1997";"2287000"
"01/06/1997";"2350000"
"01/07/1997";"2594000"
"01/08/1997";"3213000"
"01/09/1997";"3917000"
"01/10/1997";"3127000"
"01/11/1997";"2344000"
"01/12/1997";"2813000"
"01/01/1998";"3610000"
"01/02/1998";"3028000"
"01/03/1998";"4349000"
"01/04/1998";"4162000"
"01/05/1998";"5010000"
"01/06/1998";"4304000"
"01/07/1998";"4677000"
"01/08/1998";"4505000"
"01/09/1998";"5057000"
"01/10/1998";"8735000"
"01/11/1998";"4105000"
"01/12/1998";"5507000"
"01/01/1999";"40016000"
"01/02/1999";"12888000"
"01/03/1999";"-11418000"
"01/04/1999";"2371000"
"01/05/1999";"8376000"
"01/06/1999";"6566000"
"01/07/1999";"6201000"
"01/08/1999";"12481000"
"01/09/1999";"4433000"
"01/10/1999";"7742000"
"01/11/1999";"1711000"
"01/12/1999";"-3914000"
"01/01/2000";"5473000"
"01/02/2000";"5185000"
"01/03/2000";"5394000"
"01/04/2000";"8266000"
"01/05/2000";"7384000"
"01/06/2000";"5131000"
"01/07/2000";"3612682"
"01/08/2000";"8140000"
"01/09/2000";"6935000"
"01/10/2000";"9957887"
"01/11/2000";"8066433"
"01/12/2000";"5921619"
"01/01/2001";"5694726"
"01/02/2001";"9090454"
"01/03/2001";"11683028"
"01/04/2001";"9524474"
"01/05/2001";"13748071"
"01/06/2001";"2583969"
"01/07/2001";"16044697"
"01/08/2001";"15888791"
"01/09/2001";"14039855"
"01/10/2001";"10407822"
"01/11/2001";"-7910152"
"01/12/2001";"-2686463"
"01/01/2002";"16690690"
"01/02/2002";"1245359"
"01/03/2002";"5335322"
"01/04/2002";"10163265"
"01/05/2002";"16992814"
"01/06/2002";"29085732"
"01/07/2002";"35837897"
"01/08/2002";"-16077895"
"01/09/2002";"49418107"
"01/10/2002";"7065429"
"01/11/2002";"8192218"
"01/12/2002";"10074153"
"01/01/2003";"19417343"
"01/02/2003";"3710815"
"01/03/2003";"2009586"
"01/04/2003";"-4002066"
"01/05/2003";"13427370"
"01/06/2003";"7227661"
"01/07/2003";"15029517"
"01/08/2003";"11491415"
"01/09/2003";"10535705"
"01/10/2003";"7668120"
"01/11/2003";"12122933"
"01/12/2003";"8078403"
"01/01/2004";"11123997"
"01/02/2004";"7770493"
"01/03/2004";"12504231"
"01/04/2004";"12740726"
"01/05/2004";"14971888"
"01/06/2004";"10286952"
"01/07/2004";"9118583"
"01/08/2004";"9401800"
"01/09/2004";"8891255"
"01/10/2004";"9752806"
"01/11/2004";"8941723"
"01/12/2004";"11724993"
"01/01/2005";"11371934"
"01/02/2005";"9836791"
"01/03/2005";"14827841"
"01/04/2005";"10474996"
"01/05/2005";"11562550"
"01/06/2005";"13578312"
"01/07/2005";"15295875"
"01/08/2005";"13869033"
"01/09/2005";"11499493"
"01/10/2005";"15183575"
"01/11/2005";"13283681"
"01/12/2005";"17050436"
"01/01/2006";"11906972"
"01/02/2006";"12662952"
"01/03/2006";"14678657"
"01/04/2006";"10323529"
"01/05/2006";"14484443"
"01/06/2006";"11790702"
"01/07/2006";"11134567"
"01/08/2006";"13914924"
"01/09/2006";"12713055"
"01/10/2006";"13282180"
"01/11/2006";"12589979"
"01/12/2006";"12943467"
"01/01/2007";"14199749"
"01/02/2007";"10960142"
"01/03/2007";"13570062"
"01/04/2007";"12243511"
"01/05/2007";"13145996"
"01/06/2007";"11492254"
"01/07/2007";"14244219"
"01/08/2007";"15935683"
"01/09/2007";"12993330"
"01/10/2007";"10414351"
"01/11/2007";"20183995"
"01/12/2007";"11824181"
"01/01/2008";"22003381"
"01/02/2008";"12644298"
"01/03/2008";"15490441"
"01/04/2008";"16397928"
"01/05/2008";"13620026"
"01/06/2008";"17393507"
"01/07/2008";"22049656"
"01/08/2008";"14236822"
"01/09/2008";"23704190"
"01/10/2008";"25996321"
"01/11/2008";"14368338"
"01/12/2008";"31042950"
"01/01/2009";"18798075"
"01/02/2009";"13468610"
"01/03/2009";"15380180"
"01/04/2009";"14503836"
"01/05/2009";"12366219"
"01/06/2009";"13527117"
"01/07/2009";"13238143"
"01/08/2009";"8433901"
"01/09/2009";"15049296"
"01/10/2009";"14687423"
"01/11/2009";"15864818"
"01/12/2009";"15643504"
"01/01/2010";"19816936"
"01/02/2010";"14828429"
"01/03/2010";"18669299"
"01/04/2010";"87181878"
"01/05/2010";"23838844"
"01/06/2010";"19816320"
"01/07/2010";"16043123"
"01/08/2010";"13991629"
"01/09/2010";"16476656"
"01/10/2010";"17659898"
"01/11/2010";"19526611"
"01/12/2010";"24206835"
"01/01/2011";"19337504"
"01/02/2011";"21267797"
"01/03/2011";"24805278"
"01/04/2011";"19978742"
"01/05/2011";"22179753"
"01/06/2011";"49843043"
"01/07/2011";"20678893"
"01/08/2011";"22658216"
"01/09/2011";"21889592"
"01/10/2011";"21345256"
"01/11/2011";"21734092"
"01/12/2011";"37012037"
"01/01/2012";"31501010"
"01/02/2012";"22596004"
"01/03/2012";"23399828"
"01/04/2012";"19189430"
"01/05/2012";"23895771"
"01/06/2012";"36450356"
"01/07/2012";"20640986"
"01/08/2012";"21450306"
"01/09/2012";"36683273"
"01/10/2012";"41521158"
"01/11/2012";"21315107"
"01/12/2012";"24538943"
"01/01/2013";"22977884"
"01/02/2013";"20252324"
"01/03/2013";"20636768"
"01/04/2013";"23877747"
"01/05/2013";"25232420"
"01/06/2013";"30584460"
"01/07/2013";"23910406"
"01/08/2013";"20898688"
"01/09/2013";"25496504"
"01/10/2013";"27887096"
"01/11/2013";"22889516"
"01/12/2013";"48860318"
"01/01/2014";"25640085"
"01/02/2014";"19409366"
"01/03/2014";"23702689"
"01/04/2014";"25831545"
"01/05/2014";"26324151"
"01/06/2014";"52401352"
"01/07/2014";"25753923"
"01/08/2014";"16323490"
"01/09/2014";"26281903"
"01/10/2014";"28920690"
"01/11/2014";"26570990"
"01/12/2014";"61369612"
"01/01/2015";"29951157"
"01/02/2015";"31972743"
"01/03/2015";"39818348"
"01/04/2015";"36157023"
"01/05/2015";"35426273"
"01/06/2015";"34915116"
"01/07/2015";"39996873"
"01/08/2015";"37645967"
"01/09/2015";"34228628"
"01/10/2015";"37567897"
"01/11/2015";"39549559"
"01/12/2015";"46004353"
"01/01/2016";"41881131"
"01/02/2016";"42217897"
"01/03/2016";"42107445"
"01/04/2016";"36983787"
"01/05/2016";"40693103"
"01/06/2016";"43797212"
"01/07/2016";"43055220"
"01/08/2016";"44811903"
"01/09/2016";"42183370"
"01/10/2016";"37542322"
"01/11/2016";"38917456"
"01/12/2016";"42973034"
"01/01/2017";"41058811"
"01/02/2017";"34824678"
"01/03/2017";"43005554"
"01/04/2017";"32664280"
"01/05/2017";"38436938"
"01/06/2017";"41493989"
"01/07/2017";"37663430"
"01/08/2017";"33630534"
"01/09/2017";"33044681"
"01/10/2017";"31777349"
"01/11/2017";"34713597"
"01/12/2017";"34897193"
"01/01/2018";"34947917"
"01/02/2018";"26965295"
"01/03/2018";"31857963"
"01/04/2018";"29108648"
"01/05/2018";"35085004"
"01/06/2018";"39316507"
"01/07/2018";"37773950"
"01/08/2018";"38714981"
"01/09/2018";"32248368"
"01/10/2018";"34727913"
"01/11/2018";"31455277"
"01/12/2018";"28032769"
"01/01/2019";"34229210"
"01/02/2019";"34165473"
"01/03/2019";"36431439"
"01/04/2019";"37921168"
"01/05/2019";"42666142"
"01/06/2019";"31454013"
"01/07/2019";"32631071"
"01/08/2019";"34807633"
"01/09/2019";"29247677"
"01/10/2019";"28097922"
"01/11/2019";"32078151"
"01/12/2019";"37360060"
"01/01/2020";"33036463"
"01/02/2020";"24045858"
"01/03/2020";"35672317"
"01/04/2020";"18448331"
"01/05/2020";"20549759"
"01/06/2020";"23221700"
"01/07/2020";"27541480"
"01/08/2020";"23991565"
"01/09/2020";"28389319"
"01/10/2020";"36241692"
"01/11/2020";"32927996"
"01/12/2020";"36442087"
"01/01/2021";"30854970"
"01/02/2021";"23574643"
"01/03/2021";"41149236"
"01/04/2021";"29612834"
"01/05/2021";"33576241"
"01/06/2021";"35860234"
"01/07/2021";"48338700"
"01/08/2021";"47151659"
"01/09/2021";"45679621"
"01/10/2021";"50952577"
"01/11/2021";"52979275"
"01/12/2021";"71791281"
"01/01/2022";"49495048"
"01/02/2022";"54912072"
"01/03/2022";"71001784"
"01/04/2022";"64967904"
"01/05/2022";"67845582"
"01/06/2022";"71704338"
"01/07/2022";"56870751"
"01/08/2022";"44414659"
"01/09/2022";"48123214"
"01/10/2022";"59467329"
"01/11/2022";"66236866"
"01/12/2022";"74021680"
"01/01/2023";"60075679"
"01/02/2023";"57712822"
"01/03/2023";"78632694"
"01/04/2023";"68390345"
"01/05/2023";"67339987"
"01/06/2023";"59563855"
"01/07/2023";"68385595"
"01/08/2023";"71373815"
"01/09/2023";"66020921"
"01/10/2023";"61454591"
"01/11/2023";"63107976"
"01/12/2023";"78171632"
"01/01/2024";"66810052"
"01/02/2024";"78247245"
"01/03/2024";"59382246"
"01/04/2024";"66110166"
"01/05/2024";"76179928"
"01/06/2024";"81012156"
"01/07/2024";"79442754"
"01/08/2024";"83642859"
"01/09/2024";"66292869"
"01/10/2024";"84282562"
"01/11/2024";"70635870"
"01/12/2024";"86655418"
"01/01/2025";"80249833"
"01/02/2025";"99040590"
"01/03/2025";"84397597"
"01/04/2025";"99650865"
"01/05/2025";"109321564"
"01/06/2025";"71497038"
"01/07/2025";"111144668"
"01/08/2025";"98873835"
"01/09/2025";"85841906"
"01/10/2025";"130935506"
